Atividade	Descrição Atividade	Cadencia
Conferir Registro de Faltas e Presenças de Professores	Validação diária dos registros de presença e ausência de professores nas aulas ministradas. Garante que os dados de frequência estejam corretos no sistema para fins de remuneração, controle de qualidade e conformidade contratual. Identifica inconsistências, ausências não justificadas e patterns de absenteísmo.	diaria
Processar Pagamento Mensal de Professores	Atividade de revisão, validação e efetivação do pagamento mensal dos professores da vertical Alumni. Envolve conferência de horas trabalhadas, aplicação de regras contratuais e execução financeira do repasse.	mensal
Coleta mensal de disponibilidade de professores para alocação de grade	Processo recorrente de envio de formulário aos professores no dia 20 de cada mês para coletar disponibilidade de horários. Alimenta o ciclo de alocação de turmas e permite planejamento antecipado da grade acadêmica do período seguinte.	mensal
Alocação mensal de grade de professores	Processo recorrente de construção da grade mensal de aulas, que coleta a disponibilidade dos professores via formulário e realiza a distribuição otimizada considerando demanda de alunos e capacidade docente. Executado todo dia 25 do mês para o mês seguinte.	mensal
Coleta de aceite formal mensal de grade - Professores PJ	Processo mensal de formalização do aceite de alocação de grade de horários por parte dos professores contratados como pessoa jurídica. Ocorre todo dia 30 de cada mês e garante a conformidade legal da relação contratual PJ, evitando riscos trabalhistas. O aceite documenta o consentimento explícito do professor sobre sua carga horária e turmas designadas para o mês seguinte.	mensal
Engajamento proativo de professores	Contato ativo com professores para fortalecimento do vínculo e capacitação contínua. Inclui envio estruturado de vídeos de treinamento, documentos de apoio, instruções sobre novos materiais e manutenção de canal aberto para dúvidas. Difere do suporte reativo por antecipar necessidades e promover desenvolvimento.	eventual
Conduzir onboarding de novos professores	Processo estruturado de integração de professores recém-contratados à operação acadêmica da vertical Alumni. Garante que o docente compreenda metodologias, ferramentas, políticas institucionais e esteja apto a lecionar com qualidade desde a primeira aula.	eventual
Suporte operacional a professores	Atendimento e resolução de demandas operacionais dos professores do programa Alumni, incluindo dúvidas sobre processos, acesso a sistemas, materiais didáticos e questões administrativas. Garante que os docentes tenham condições adequadas para execução das aulas e atividades pedagógicas.	eventual
Produzir materiais didáticos personalizados para clientes B2B	Desenvolvimento de conteúdos pedagógicos customizados (apostilas, slides, atividades, vídeos) conforme demandas específicas de clientes corporativos, instituições de ensino ou programas in-company. Garante alinhamento com identidade visual, objetivos de aprendizagem e metodologia do parceiro B2B.	eventual
Validar integridade do dashboard pedagógico e delegar correções	Conferência diária da integridade dos dados de presença e posicionamento de alunos no dashboard pedagógico. Identifica inconsistências (presenças não registradas, erros em posicionamento de novos alunos private) e delega correções à equipe responsável (Ariane/Val). Garante que a base de dados reflita a realidade operacional do dia anterior.	diaria
Conferir presença de alunos agendados vs comparecidos (todos os níveis)	Conferência diária manual que compara a lista de alunos agendados para aulas/sessões com os registros de comparecimento efetivo, abrangendo todos os níveis de ensino ativos no portal Alumni. Executada em dois turnos (manhã e tarde) para garantir cobertura completa e atualização contínua dos dados de engajamento.	diaria
Monitorar campanhas de tráfego pago (Google Ads e Meta)	Acompanhamento diário do desempenho das campanhas de mídia paga nos canais Google Ads e Meta Ads. Análise de métricas-chave (CPC, CTR, conversões, ROAS) para identificar oportunidades de otimização e garantir que os investimentos em aquisição estejam alinhados aos objetivos comerciais da vertical Alumni.	diaria
Revisar e atualizar dashboard de análise de marketing Alumni	Revisão quinzenal dos dados e métricas do dashboard de análise de marketing da vertical Alumni. Inclui validação de indicadores, correção de inconsistências e atualização de configurações para garantir que as decisões comerciais sejam baseadas em dados precisos e atualizados.	quinzenal
Disparo de campanha perene de convite para aula experimental	Atividade de marketing direto que convida leads e prospects alumni a experimentarem uma aula demonstrativa dos produtos Better/L1F3. A campanha é perene (sempre ativa) e envia cerca de 4 disparos mensais, segmentados por perfil e momento da jornada do lead.	semanal
Monitoramento e Correção da saúde das ferramentas de marketing	Verificação proativa e sistemática do funcionamento das ferramentas de marketing digital (CRM Clint, Mailchimp, integrações de formulários) para identificar e prevenir inconsistências operacionais. Busca ativa de anomalias técnicas antes que impactem as campanhas ou a experiência do lead/aluno.	diaria
Monitorar e otimizar campanhas de tráfego pago	Acompanhamento contínuo do desempenho de campanhas pagas em Meta Ads e Google Ads, focando em conversão, investimento e ROI. Realiza ajustes táticos imediatos quando campanhas não atingem metas de conversão, pausando investimentos ineficazes e realocando verbas para canais de melhor performance. Revisão semanal completa garante alinhamento com objetivos comerciais da vertical Alumni.	semanal
Manutenção e atualização de site e blog WordPress	Realizar manutenção técnica e editorial do site institucional e blog da vertical Alumni, garantindo disponibilidade, performance e atualização de conteúdos. Inclui atualizações de plugins, correções de layout no Elementor, otimizações de SEO e ajustes responsivos para proporcionar experiência consistente aos visitantes.	eventual
Revisar posicionamento de marca Alumni	Revisão estratégica dos elementos identitários da marca Alumni by Better, abrangendo perfil de influencer/embaixador, tom de voz editorial e paleta cromática. Garante coerência entre canais digitais e alinhamento com evolução do público-alvo e tendências de mercado EdTech.	eventual
Conduzir funil seletivo de professores	Gestão do processo seletivo de novos professores, desde a candidatura inicial até a aprovação final. Inclui triagem de candidatos, avaliação de perfil pedagógico e verificação de alinhamento cultural com a metodologia da EdTech. Utiliza consulta a bases públicas de avaliação para validação de histórico e reputação.	semanal
Produzir material pedagógico diário para Learning Lab	Criação e atualização de recursos didáticos (slides, exercícios, guias, vídeos-aula) para o ambiente Learning Lab. Garante que alunos Alumni tenham acesso a conteúdos de qualidade, alinhados ao roadmap pedagógico e às necessidades de aprendizagem ativa identificadas diariamente.	diaria
Tratamento e publicação de material pedagógico no Learning Lab	Processo diário de revisão técnica e editorial de conteúdos pedagógicos antes da publicação na plataforma Learning Lab. Inclui verificação de qualidade de áudio, edições necessárias de texto/vídeo e upload final dos materiais para disponibilização aos alunos.	diaria
Acompanhamento da satisfação dos aluno Alumni Black		diaria
Acompanhamento diário de entrada de leads no CRM		diaria
Acompanhamento diário de números do B2C		diaria
Acompanhamento diário de remarketing		diaria
Alinhamento de novos procedimentos pedagógicos com professores (WhatsApp, vídeos, reuniões)		eventual
Atendimento a clientes em outras etapas do funil		diaria
Atualização completa de SEO em todas as paginas do site		trimestral
Centralização de dados de alunos e/ou professores (nome, contato, disponibilidade) no Portal Alumni		eventual
Contato com professores para extração de informações e refino de demandas		eventual
Cordenação da elaboração de materias pedagogicos diversos de demandas internas do pedagógico para professores, alunos, treinamentos etc..		eventual
Elaboração de materias pedagogicos diversos de demandas internas do pedagógico para professores, alunos, treinamentos etc..		eventual
Elaboração de treinamentos específicos baseados nas necessidades dos professores		mensal
Elaboração e envio de relatorio geral da operação para o Carlos		diaria
Envio e acompanhamento do fluxo de e-mails de cancelamento: aprovação diretoria, execução financeira, envio para aluno.		eventual
Estudo, mapeamento de acervos e pesquisa de materiais (brainstorm com IA) para melhorias/novos materiais		eventual
Mapeamento de demandas de melhoria de conteúdos e novas implementações		eventual
Observação e avaliação das aulas dos candidatos a professores em processo seletivo		eventual
Organização dos eventos de treinamentos para necessidades especificas dos professores		eventual
Ponte de contato com plataformas: abertura de tickets e reporte de bugs/inconsistências (Learning Lab, Speechace)		eventual
Reunião geral com professores para gerar conexão e apresentar as observações de aula		trimestral
Reunião periódica 1on1 com professores		bimestral
Revisão de aulas do Sistema Private (comentários, apontamentos e ajustes)		eventual
Supervisão da alocação de aulas dos alunos Alumni Black		diaria
Suporte sistêmico eventual a professores com irregularidades no portal (presenças, links de Zoom, material correto da plataforma)		eventual
Acompanhamento da jornada inicial do aluno até o início efetivo das aulas (consultoria, matrícula, contrato, pagamento e agendamento).		diaria
Acompanhamento do status de matrículas, pagamentos e contratos.		diaria
Alinhamento com coordenação, diretoria e financeiro para aprovação de condições especiais e andamento dos processos.		eventual
Analise de feedbacks e reporte de melhorias para as equipes Acadêmico, Produto e Tecnologia		eventual
Automação de processos internos de atendimento/cobrança/retenção		semanal
Cadastro no portal e LL, gestão e manutenção de dados de alunos		eventual
Criação de dashboards e aplicações operacionais para otimização de processos		eventual
Fluxo de gestão de dados de prestadores e colaboradores		eventual
Gestão de tickets críticos - escalonamento ao departamento responsável quando necessário		eventual
Manutenção de planilhas - Cobrança/Retenção/Vendas/Alunos - pós cancelamento/cobrança		eventual
Produção e personalização de comunicações comerciais (WhatsApp, e-mails e mensagens de acompanhamento).		diaria
Realização da consultoria de retenção		eventual
Reativação de alunos - após pagamento dos atrasados		eventual
Responder Reclame aqui e procon (checagem terças e quintas)		eventual
Suporte em Eventos Institucionais/Endomarketing		eventual
Validar integridade de dados em sistemas		eventual
Gerar 20 aulas de todos os 44 alunos para criar janela de 15 dias para o desenvolvimento
Revisão pedagógica de todas as aulas geradas
Aplicação das correções pedagógicas no fluxo de desenvolvimento do sistema de geração de aulas
Finalização da V2 do sistema de geração de aulas personalizadas com os feedbacks
Desenvolvimento do sistema de acompanhamento e avaliação de aulas
Migração dos alunos de private para o modelo Alumni Black
Formulação do processo de vendas
Elaboração do branding book
Gravação do vídeo inicial de campanha Alumni Black B2C
Gravação do vídeo inicial de campanha Alumni Black B2B
Lançamento da campanha de divulgação
Elaborar documento de design de produto: precificação, custos, tokens IA, horas humano, fluxo
Mapa de Jornada do Cliente: pontos de contato e atividades em cada ponto, com função e padrão de qualidade	Próximo passo: Mapear o processo operacional completo, definindo funções e passagens de bastão (comercial > concierge > professor) e consolidar todos os inputs e questionamentos sobre o modelo de negócio atual para debate e definição do modelo final
Organizar processo de cliente oculto do produto Alumni Black
Estabelecimento do padrão de qualidade da Consultoria 360 para material de aulas personalizado
Construção da função Concierge: padrão de qualidade, atividades, processos
Elaboração dos roteiros para gravação dos vídeos de onboarding	Referência: Roteiros - https://drive.google.com/drive/folders/1XTZciv2rBtizOV8bgVDSVAbKUtlStCiA?usp=drive_link
Conferência e pequenas correções dos roteiros de onboarding
Gravação dos videos de onboarding Alumni Black
Gravação dos videos de onboarding Community
Gravação dos videos de onboarding Community Flow
Gravação de telas do sistema com narração da Helen para incoroporar nos videos de onboarding
Edição de todos os videos de onboarding
Elaboração dos processos vinculados à realização dos onboardings	Referência: Blue print da jornada do aluno do Community / Flow - https://docs.google.com/document/d/1_vicySa15wEzThMBlrEfTfvq6BJd8vcBQSaaf0rygwU/edit?usp=sharing
Analisar as funcionalidades do dashboard de alunos e mapear os recursos ausentes para acompanhar o progresso
Desenho do processo geral de contratação de professores
Revisão do processo geral de contratação de professores
Elaboração do Job description de key teacher (contratação para base)
Validação do Job description de key teacher (contratação para base)
Formulário de captação de professores (base)
Estratégia e seleção de depoimentos de professores para mídias	Definição da estratégia de conteúdo de marca empregadora e seleção dos depoimentos e professores a serem gravados (stories de bastidores, depoimentos reais, 3–5 vídeos).
Elaboração do Job description de key teacher Alumni Black
Validação do Job description de key teacher Alumni Black
Coleta de informações essenciais a nivel pedagógico para a elaboração dos job description com Raphael Lima	Próximo passo: Reunião 24/06 as 15h pra alinhar as informações disponiveis e enviar para a Ju - Raphael requisitou a conversa com Lucas após o pedido das informações
Elaboração da proposta de reativação do Linkedin Alumni como canal de atração de professores
Validação da proposta de reativação do Linkedin Alumni	Execução da reativação já definida: Aldo Luiz. Restou validar a proposta elaborada pela Ju Feitosa (atividade 266). Origem: desmembramento da frente 195 em 04/08/2026 — atividade renomeada (antes incluía a definição do responsável pela execução, já resolvida).
Elaboração da proposta inicial de programa de desenvolvimento de teachers — geral
Validação da proposta de programa de desenvolvimento de teachers — geral
Elaboração da proposta de programa de desenvolvimento de professores para Alumni Black (Tropa de Elite)
Validação da proposta de programa de desenvolvimento de professores para Alumni Black (Tropa de Elite)
Layout da consultoria de retenção
Elabora camada de inteligência do radar de detecção de riscos e oportunidades dos alunos
Elaboração do treinamento de vendas para novos vendedores
Elaboração da Proposta do Projeto de Capital Humano Alumni - Fase 1: Professores	Referência: Conceituação do projeto para aprovação - https://drive.google.com/file/d/1ZiVgagog5YjmebPJnuu9DJjZRsT73HmH/view?usp=sharing
Analise e aprovação da Proposta do Projeto de Capital Humano Alumni - Fase 1: Professores
Criar 4 frameworks de in-class do Black	Desenvolvimento de quatro frameworks de aula in-class com embasamento pedagógico (guided discovery/eliciting em substituição ao PPP), destinados às aulas 21–30 dos alunos adultos do Black. Apresentação na reunião geral de 07/08.
Criar 4 frameworks de pre-class do Black	Desenvolvimento de quatro variações de pre-class para eliminar a repetição estrutural relatada por alunos com muitas horas contratadas. Mesmo ciclo de validação dos frameworks de in-class, com apresentação em 07/08.
Testar frameworks com professores	Aplicação dos frameworks validados em aulas reais por quatro professores selecionados, com feedback obrigatório ao final de cada aula. Rodadas de teste em 10 e 11/08, com ajustes entre rodadas; até três rodadas antes da liberação para produção.
Produzir teacher guide e identidade visual por framework	Elaboração de um teacher guide para cada framework e definição de identidade visual (cor do primeiro slide identifica o framework), base para o treinamento dos professores no novo padrão de aula.
Gerar aulas 21–30 nos novos frameworks	Produção das aulas 21 a 30 dos alunos do Black nos frameworks validados, com meta de variedade disponível para todos os alunos até o fim de agosto.
Ativar telefone concierge Black	Ativação de número exclusivo para alunos Black em WhatsApp Business (acesso simultâneo em vários computadores), com migração dos atendimentos hoje concentrados no telefone pessoal da Helen.
Atender solicitações de alunos Black (contato passivo)	Atendimento reativo das mensagens dos alunos Black no canal concierge dedicado, com padrão de resposta em até 5 minutos. Inclui dúvidas, remarcações e solicitações gerais.	diaria
Criar modelos de mensagem por semana de jornada	Definição de modelos de mensagem de acompanhamento por momento do aluno (primeira semana, segunda semana etc.), integrados ao histórico do aluno via ferramenta de leitura do WhatsApp.
Montar agenda de agendamento de consultorias	Criação de agenda de agendamento tipo Calendly para as consultorias iniciais do Black, viabilizando a transferência das consultorias dos vendedores para Helen, Stephanie e Danilo.
Padronizar script da consultoria (perfil 360)	Estruturação de roteiro padronizado de perguntas da consultoria para que o perfil 360 seja preenchido de forma consistente independentemente de quem conduz.
Enviar escrito da aula mock Kids para teste	Envio por Stephanie do texto da aula mock de Kids (modelo story-based) para Helen testar a geração no sistema dos devs, incluindo montagem de quadrinho.
Testar gerador Kids no player dos devs	Testes conduzidos pela Helen, em paralelo ao foco no Black, do gerador de aulas Kids direto no player dos devs (sem etapa HTML), com parametrização por idade e nível. Inclui acompanhar a evolução do sistema (personagem 3D).
Consolidar produtos Kids, Preteens e Teens	Estruturação dos cursos nas faixas etárias definidas (Kids 6–10, Preteens 11–14, Teens 15–17), sem personalização de conteúdo — curso regular com material fixo por faixa e nível, gerador próprio por faixa. Início previsto para depois de agosto.
Eliminar Learning Lab (Fase 2)	Substituição do Learning Lab pelo curso replicado via ferramentas de código (testes já iniciados com sílabos e PowerPoints). Início declarado para o final do ano.
Estruturar avaliação e certificação do Black	Definição do modelo de prova e certificação do Black. Direção discutida (não fechada): avaliação a cada 20 aulas com mudança de nível, ~80% do peso em speaking. Citada como tema a pensar durante agosto.
Definir trilhas temáticas para o Black	Criação de trilhas por perfil (negócios, finanças etc.) para reduzir a dependência da consultoria na personalização e a repetição de temas nas aulas. Declarada para depois da estruturação atual.
Gestão base de conhecimento própria do gerador	Construção de base de conhecimento interna (Cambridge, artigos, notícias, sempre com áudio) para embasar o gerador e as atividades complementares, substituindo a busca aberta na internet.	semanal
Implantar registro de progresso de aula pelos professores	Garantir que os professores registrem no attendance qual aula e slide cada aluno alcançou, viabilizando o controle de progresso via planilha do sistema.
Realizar contato ativo semanal com alunos Black	Contato ativo semanal com todos os alunos Black pelo canal concierge, seguindo os modelos de mensagem por momento da jornada, para acompanhamento, prevenção de evasão e retenção.	semanal
Nova rodada de edição dos roteiros de onboarding (adequação ao portal novo)	Revisão e atualização dos roteiros de onboarding elaborados em junho (atividade 247, Ju Feitosa) para refletir o novo portal em implementação — fluxos, telas e nomenclaturas mudam com a nova plataforma. Pré-requisito das regravações: nenhum vídeo deve ser gravado sobre roteiro desatualizado. Frente retoma quando o portal estiver estável.
Regravação dos vídeos de onboarding Alumni Black	Regravação dos vídeos de onboarding do Alumni Black sobre os roteiros atualizados para o portal novo. Substitui as gravações de junho (atividade 249), invalidadas pela troca de plataforma. Depende da nova rodada de edição dos roteiros (atividade 299).
Regravação dos vídeos de onboarding Community	Regravação dos vídeos de onboarding do Community sobre os roteiros atualizados para o portal novo. Substitui as gravações de junho (atividade 250), invalidadas pela troca de plataforma. Depende da nova rodada de edição dos roteiros (atividade 299).
Regravação dos vídeos de onboarding Community Flow	Regravação dos vídeos de onboarding do Community Flow sobre os roteiros atualizados para o portal novo. Substitui as gravações de junho (atividade 251), invalidadas pela troca de plataforma. Depende da nova rodada de edição dos roteiros (atividade 299).
Edição dos vídeos de depoimentos de professores	Edição do material bruto de depoimentos de professores, preparando os vídeos para publicação nos canais de marca empregadora.
Publicação e acompanhamento das mídias de depoimentos de professores	Publicação dos vídeos de depoimentos nos canais definidos e acompanhamento do desempenho das postagens.
Configurações na Meta da Produção e personalização de comunicações comerciais (WhatsApp, e-mails e mensagens de acompanhamento).		semanal
Revisão da produção de material pedagógico diário para Learning Lab		diaria
Compilação de dados de prestadores de serviço		eventual
Suporte audio visual em gravação de videos diversos		eventual
Processamento de disponibilidade de professores para alocação de grade		mensal
